url,type
02ip.ru,phishing
0p-1.com,phishing
0www-roblox.com,phishing
0x-11a.pages.dev,phishing
0x1trade.com,phishing
0x3.pages.dev,phishing
0x4.pages.dev,phishing
0xhoneyjar.org,phishing
0xmons.net,phishing
1-88y.pages.dev,phishing
1-roblox.info,phishing
1000-rewards.xyz,phishing
1000usdc.net,phishing
1000usdc.top,phishing
101nitro.com,phishing
1111sale.us,phishing
14kgundgapi.ru,phishing
15dfjkbvdf.club,phishing
16172834-coinbase.com,phishing
17954-coinbase.com,phishing
17ebook.com,phishing
19igkjgwndapi.ru,phishing
19irjnillkigersogb.ru,phishing
19mngebhapi.ru,phishing
1gerjshgs.ru,phishing
1kinitro.com,phishing
1lnch.live,phishing
1month-premium.com,phishing
1nitro.club,phishing
1ownandfresh1.com,phishing
1payxperxinst1.com,phishing
1redirb.com,phishing
1robiox1.xyz,phishing
1steam.xyz,phishing
1ts11.top,phishing
1tvv.ru,phishing
1wat.ru,phishing
1wzhhf.top,phishing
2-btc.com,phishing
2-csgo.com,phishing
2-source.art,phishing
2-source.eu,phishing
2-source.site,phishing
2-spacex.com,phishing
2000usdt.top,phishing
2012-drakon.ru,phishing
2012-god.ru,phishing
2015-god-kozy.ru,phishing
2021cs.net.ru,phishing
2021p.cn,phishing
2021y.ru,phishing
2022g.top,phishing
2022p.asia,phishing
2022p.cn,phishing
2022r.top,phishing
2022v.asia,phishing
2022x.asia,phishing
2022x.top,phishing
2022y.asia,phishing
2022yg.com,phishing
2023-ripple.com,phishing
2023-stark.net,phishing
2023-tsla.com,phishing
2023g.com,phishing
2023openai.live,phishing
2023spacex.net,phishing
2023spacex.org,phishing
2023spacex.space,phishing
2023teslaevent.com,phishing
2024-freecrypto.com,phishing
2024-xrp.com,phishing
2049dubai.com,phishing
20discord.com,phishing
21jgrehbnzapi.ru,phishing
22-space.org,phishing
22navi.com,phishing
22tesla.io,phishing
23-musk.com,phishing
23c7481e.hbrex.cn,phishing
23navi.com,phishing
2a9b-188-48-91-4.ngrok-free.app,phishing
2captcha-protect.com,phishing
2cs-source.com,phishing
2csgo-invites.com,phishing
2csgo-invites.net,phishing
2discord.ru,phishing
2faceteam.ml,phishing
2fopenid.net,phishing
2fsteamcommunity.com,phishing
2navi.com,phishing
2navi.me,phishing
2nitr0newyear23.ink,phishing
2no.co,phishing
2source.ch,phishing
2source.eu,phishing
2source.pro,phishing
2x-tsla.com,phishing
2xbitcoin.net,phishing
2xtesla.net,phishing
3.splunkregistrar.com,phishing
3000usdt.cc,phishing
3007pc.asia,phishing
365xcash.net,phishing
36jfbzmdxdqapi.ru,phishing
3black.info,phishing
3discord.com,phishing
3ds-security.xyz,phishing
3month-get.com,phishing
3month-give.com,phishing
3month-premium.com,phishing
3months-dicsord.com,phishing
3mounts-disocrd.com,phishing
3psil0n.fr,phishing
411medias.com,phishing
4discord.com,phishing
4discord.net,phishing
4gameranking.com,phishing
5000usdt.com,phishing
